Name,Status,Termination,Guard,Bound,Cex Size,Trigger Passing Bound, Init Sequence Length, Liveness Loop Length
sbr.sbc_compliance0.sbc_ifc_compliance.top_cover[1].partialSendFabric_3_3_2_2.partialSendFabric_3_3_2_2_COVER,covered,success,safety,-1,54,-1,4,-1 
sbr.sbc_compliance0.sbc_ifc_compliance.transactionIdleReq_4_2_2.transactionIdleReq_4_2_2_COVER,not covered bounded,timeout,safety,54,-1,-1,4,-1 
sbr.sbc_compliance1.sbc_ifc_compliance.AgentISM[1].FabricISM[0].ISMPM_002_ISM_ReachablePair.ISMPM_002_ISM_ReachablePair_COVER,not covered bounded,timeout,safety,54,-1,-1,4,-1 
sbr.sbc_compliance1.sbc_ifc_compliance.AgentISM[1].FabricISM[1].ISMPM_002_ISM_ReachablePair.ISMPM_002_ISM_ReachablePair_COVER,not covered bounded,timeout,safety,54,-1,-1,4,-1 
sbr.sbc_compliance1.sbc_ifc_compliance.AgentISM[1].FabricISM[3].ISMPM_002_ISM_ReachablePair.ISMPM_002_ISM_ReachablePair_COVER,not covered bounded,timeout,safety,54,-1,-1,4,-1 
sbr.sbc_compliance1.sbc_ifc_compliance.AgentISM[3].FabricISM[1].ISMPM_002_ISM_ReachablePair.ISMPM_002_ISM_ReachablePair_COVER,not covered bounded,timeout,safety,54,-1,-1,4,-1 
sbr.sbc_compliance1.sbc_ifc_compliance.agent_credit_compliance.CreditsToReturn_Cover_1.CreditsToReturn_Cover_1_COVER,not covered bounded,timeout,safety,54,-1,-1,4,-1 
sbr.sbc_compliance1.sbc_ifc_compliance.agent_credit_compliance.CreditsToReturn_Cover_2.CreditsToReturn_Cover_2_COVER,not covered bounded,timeout,safety,54,-1,-1,4,-1 
sbr.sbc_compliance1.sbc_ifc_compliance.agent_credit_compliance.FlowComplianceCover[0].ISMPM_009_010_012_CreditUpdateWhenISMIsActive_Trigger2.ISMPM_009_010_012_CreditUpdateWhenISMIsActive_Trigger2_COVER,covered,success,safety,-1,44,-1,4,-1 
sbr.sbc_compliance1.sbc_ifc_compliance.agent_credit_compliance.FlowComplianceCover[0].ISMPM_020_UpdateCreditOnlyAfterReclaiming_Trigger.ISMPM_020_UpdateCreditOnlyAfterReclaiming_Trigger_COVER,covered,success,safety,-1,44,-1,4,-1 
sbr.sbc_compliance1.sbc_ifc_compliance.agent_credit_compliance.FlowComplianceCover[1].ISMPM_009_010_012_CreditUpdateWhenISMIsActive_Trigger2.ISMPM_009_010_012_CreditUpdateWhenISMIsActive_Trigger2_COVER,covered,success,safety,-1,44,-1,4,-1 
sbr.sbc_compliance1.sbc_ifc_compliance.agent_credit_compliance.FlowComplianceCover[1].ISMPM_020_UpdateCreditOnlyAfterReclaiming_Trigger.ISMPM_020_UpdateCreditOnlyAfterReclaiming_Trigger_COVER,covered,success,safety,-1,44,-1,4,-1 
sbr.sbc_compliance1.sbc_ifc_compliance.agent_credit_compliance.FlowCornerCover[0].SidebandInitCov_fig3_4_agent.SidebandInitCov_fig3_4_agent_COVER,not covered bounded,timeout,safety,54,-1,-1,4,-1 
sbr.sbc_compliance1.sbc_ifc_compliance.agent_credit_compliance.FlowCornerCover[0].immediateResponse_3_3_2_2.immediateResponse_3_3_2_2_COVER,covered,success,safety,-1,50,-1,4,-1 
sbr.sbc_compliance1.sbc_ifc_compliance.agent_credit_compliance.FlowCornerCover[1].SidebandInitCov_fig3_4_agent.SidebandInitCov_fig3_4_agent_COVER,not covered bounded,timeout,safety,54,-1,-1,4,-1 
